id_norma,tipo_norma,numero_norma,clase_norma,organismo_origen,fecha_sancion,numero_boletin,fecha_boletin,pagina_boletin,titulo_resumido,titulo_sumario,texto_resumido,observaciones,texto_original,texto_actualizado,modificada_por,modifica_a
334377,Ley,27543,,HONORABLE CONGRESO DE LA NACION ARGENTINA,2020-01-29,34306,2020-02-12,5,AUTORIZASE LA ENTRADA DE TROPAS EXTRANJERAS AL TERRITORIO NACIONAL Y LA SALIDA DE FUERZAS NACIONALES,PERSONAL MILITAR,"AUTORIZASE LA ENTRADA DE TROPAS EXTRANJERAS AL TERRITORIO NACIONAL Y LA SALIDA FUERA DE EL DE FUERZAS NACIONALES, SEGUN CORRESPONDA, PARA PARTICIPAR EN LOS EJERCICIOS CONTEMPLADOS EN EL PROGRAMA DE EJERCITACIONES COMBINADAS A REALIZARSE DESDE EL 1° DE SEPTIEMBRE DE 2019 HASTA EL 31 DE AGOSTO DE 2020.",,http://servicios.infoleg.gob.ar/infolegInternet/anexos/330000-334999/334377/norma.htm,,1,
374675,Resolución,15,,COMISION TECNICA MIXTA DEL FRENTE MARITIMO,2022-11-03,35045,2022-11-11,30,ESPECIE GATUZO - RESERVA ADMINISTRATIVA DE CAPTURA,COMISION TECNICA MIXTA DEL FRENTE MARITIMO,HABILITESE EL TOTAL DE LA RESERVA ADMINISTRATIVA DE CAPTURA (200 T) PREVISTA EN EL ART. 2º) DE LA RESOLUCION Nº 6/22 PARA LA ESPECIE GATUZO (MUSTELUS SCHMITTI) PARA EL AÑO 2022.,,http://servicios.infoleg.gob.ar/infolegInternet/anexos/370000-374999/374675/norma.htm,,0,1
401266,Ley,27742,,HONORABLE CONGRESO DE LA NACION ARGENTINA,2024-06-27,35456,2024-07-08,4,DISPOSICIONES,LEY DE BASES Y PUNTOS DE PARTIDA PARA LA LIBERTAD DE LOS ARGENTINOS,"DECLARASE LA EMERGENCIA PUBLICA EN MATERIA ADMINISTRATIVA, ECONOMICA, FINANCIERA Y ENERGETICA POR EL PLAZO DE UN (1) AÑO. DELEGANSE EN EL PODER EJECUTIVO NACIONAL LAS FACULTADES DISPUESTAS POR LA PRESENTE LEY, VINCULADAS A MATERIAS DETERMINADAS DE ADMINISTRACION Y DE EMERGENCIA, EN LOS TERMINOS DEL ARTICULO 76 DE LA CONSTITUCION NACIONAL, CON ARREGLO A LAS BASES AQUI ESTABLECIDAS Y POR EL PLAZO DISPUESTO EN EL PARRAFO PRECEDENTE. EL PODER EJECUTIVO NACIONAL INFORMARA MENSUALMENTE Y EN FORMA DETALLADA AL HONORABLE CONGRESO DE LA NACION ACERCA DEL EJERCICIO DE LAS FACULTADES DELEGADAS Y LOS RESULTADOS OBTENIDOS.",,http://servicios.infoleg.gob.ar/infolegInternet/anexos/400000-404999/401266/norma.htm,,116,38
429015,Decreto,762,,PODER EJECUTIVO NACIONAL (P.E.N.),2026-08-19,35974,2026-08-20,7,RECURSO - RECHAZASE,PROCEDIMIENTOS ADMINISTRATIVOS,RECHAZASE EL RECURSO JERARQUICO EN SUBSIDIO DEL DE RECONSIDERACION INTERPUESTO POR LA AGENTE CIVIL DE LA PLANTA PERMANENTE DE LA ARMADA ARGENTINA ELIZABET CECILIA ACOSTA (D.N.I. N° 22.600.630) CONTRA LA RESOLUCION DEL MINISTERIO DE DEFENSA N° 614 DEL 14 DE JULIO DE 2017.,,,,0,1
429017,Decreto,760,,PODER EJECUTIVO NACIONAL (P.E.N.),2026-08-19,35974,2026-08-20,11,RECURSO - RECHAZASE,PROCEDIMIENTOS ADMINISTRATIVOS,RECHAZASE EL RECURSO JERARQUICO EN SUBSIDIO DEL DE RECONSIDERACION INTERPUESTO POR LA AGENTE CIVIL DE LA PLANTA PERMANENTE DE LA ARMADA ARGENTINA MARIA JULIA SANTILLAN (D.N.I. N° 29.045.977) CONTRA LA RESOLUCION DEL MINISTERIO DE DEFENSA N° 614 DEL 14 DE JULIO DE 2017.,,,,0,1
429016,Decreto,761,,PODER EJECUTIVO NACIONAL (P.E.N.),2026-08-19,35974,2026-08-20,9,RECURSO - RECHAZASE,PROCEDIMIENTOS ADMINISTRATIVOS,RECHAZASE EL RECURSO JERARQUICO EN SUBSIDIO DEL DE RECONSIDERACION INTERPUESTO POR LA SEÑORA SOLEDAD DE LOS ANGELES TOLEDO (D.N.I. Nº 26.771.049) CONTRA LA RESOLUCION DEL MINISTERIO DE CAPITAL HUMANO N° 126 DEL 11 DE MARZO DE 2025.,,,,0,1
429014,Decreto,759,,PODER EJECUTIVO NACIONAL (P.E.N.),2026-08-19,35974,2026-08-20,5,RECURSO - RECHAZASE,PROCEDIMIENTOS ADMINISTRATIVOS,RECHAZASE EL RECURSO JERARQUICO EN SUBSIDIO DEL DE RECONSIDERACION INTERPUESTO POR LA AGENTE JIMENA FERNANDEZ (D.N.I. Nº 30.047.131) CONTRA LA RESOLUCION DEL MINISTERIO DE CAPITAL HUMANO N° 126 DEL 11 DE MARZO DE 2025.,,,,0,1
334375,Ley,27542,,HONORABLE CONGRESO DE LA NACION ARGENTINA,2020-01-29,34306,2020-02-12,5,APROBACION,CONSENSO FISCAL,"APRUEBASE EL CONSENSO FISCAL, SUSCRIPTO EL 17 DE DICIEMBRE DE 2019 POR EL PODER EJECUTIVO NACIONAL, REPRESENTANTES DE LAS PROVINCIAS Y DE LA CIUDAD AUTONOMA DE BUENOS AIRES, QUE, COMO ANEXO, FORMA PARTE INTEGRANTE DE LA PRESENTE LEY.",,http://servicios.infoleg.gob.ar/infolegInternet/anexos/330000-334999/334375/norma.htm,,2,3
334373,Ley,27544,,HONORABLE CONGRESO DE LA NACION ARGENTINA,2020-02-05,34306,2020-02-12,3,DISPOSICIONES,RESTAURACION DE LA SOSTENIBILIDAD DE LA DEUDA PUBLICA EMITIDA BAJO LEY EXTRANJERA,"DECLARASE PRIORITARIA PARA EL INTERES DE LA REPUBLICA ARGENTINA LA RESTAURACION DE LA SOSTENIBILIDAD DE LA DEUDA PUBLICA EMITIDA BAJO LEY EXTRANJERA, EN LOS TERMINOS DEL ARTICULO 65 DE LA LEY DE ADMINISTRACION FINANCIERA Y DE LOS SISTEMAS DE CONTROL DEL SECTOR PUBLICO NACIONAL, 24.156 Y SUS MODIFICACIONES, Y A TAL FIN, AUTORIZASE AL PODER EJECUTIVO NACIONAL A EFECTUAR LAS OPERACIONES DE ADMINISTRACION DE PASIVOS Y/O CANJES Y/O REESTRUCTURACIONES DE LOS SERVICIOS DE VENCIMIENTO DE INTERESES Y AMORTIZACIONES DE CAPITAL DE LOS TITULOS PUBLICOS DE LA REPUBLICA  ARGENTINA EMITIDOS BAJO LEY EXTRANJERA. EL PODER EJECUTIVO NACIONAL DETERMINARA LOS MONTOS NOMINALES ALCANZADOS POR LA PRESENTE LEY ESPECIAL.",,http://servicios.infoleg.gob.ar/infolegInternet/anexos/330000-334999/334373/norma.htm,,16,2
335538,Ley,27545,,HONORABLE CONGRESO DE LA NACION ARGENTINA,2020-02-28,34331,2020-03-17,3,DISPOSICIONES,LEY DE GONDOLAS,"OBJETIVOS. CONTRIBUIR A QUE EL PRECIO DE LOS PRODUCTOS ALIMENTICIOS, BEBIDAS, DE HIGIENE Y LIMPIEZA DEL HOGAR SEA TRANSPARENTE Y COMPETITIVO, EN BENEFICIO DE LOS CONSUMIDORES; SUJETOS. AUTORIDAD DE APLICACION. PRODUCTOS ALCANZADOS. DEFINICIONES.","ABROGADA POR ARTICULO 7 DEL DECRETO N° 70/2023, B.O. 21/12/2023 PAGINA 3.",http://servicios.infoleg.gob.ar/infolegInternet/anexos/335000-339999/335538/norma.htm,,11,8
