provincia_nombre,tipo_norma,numero_norma,estado_vigencia,fecha,fecha_publicacion,nombre_norma,titulo_resumido,titulo_sumario,informacion_digesto,texto_actualizado,provincia_id
Buenos Aires,Constitución Provincial,0,"Vigente, de alcance general",1994-09-13,1994-09-14,Constitución de la Provincia de Buenos Aires,CONSTITUCION DE LA PROVINCIA DE BUENOS AIRES,CONSTITUCION PROVINCIAL-DECLARACIONES-DERECHOS Y GARANTIAS CONSTITUCIONALES-PODER LEGISLATIVO-PODER JUDICIAL-PODER EJECUTIVO-ASAMBLEA LEGISLATIVA-GOBERNADOR-VICEGOBERNADOR- FISCAL DE ESTADO-CONTADOR-TESORERO DE LA PROVINCIA- CULTURA Y...,,www.saij.gob.ar/LPB1000000,06
Buenos Aires,Constitución Provincial,0,"Individual, Solo Modificatoria o Sin Eficacia",1934-11-29,1934-11-29,CONSTITUCION DE LA PROVINCIA DE BUENOS AIRES DE 1934,CONSTITUCION DE LA PROVINCIA DE BUENOS AIRES,"DECLARACIONES,DERECHOS Y GARANTIAS-REGIMEN ELECTORAL:DISPOSICIONES GENERALES-PODER LEGISLATIVO:DE LA LEGISLATURA,DE LA CAMARA DE DIPUTADOS,DEL SENADO,DISPOSICIONES COMUNES A AMBAS CAMARAS, ATRIBUCIONES,PROCEDIMIENTO PARA LA FORMACION DE...",,www.saij.gob.ar/LPB0000000,06
Buenos Aires,Texto Ordenado Ley,10067,Derogada,1995-06-07,1995-07-10,DEC. LEY 10.067/83 TEXTO ORDENADO POR DEC. 1304/95,LEY DEL PATRONATO DE MENORES,PATRONATO DE MENORES-ASESORIA DE MENORES-MENORES -REGIMEN PENAL DE LA MINORIDAD,,www.saij.gob.ar/LPB0010067,06
Buenos Aires,Texto Ordenado Ley,10082,"Vigente, de alcance general",1995-05-12,1995-05-31,DECRETO-LEY 10.082,REGIMEN DE CONMUTACION DE PENAS,CONMUTACION DE PENAS-FACULTADES DEL PODER EJECUTIVO- -PODER EJECUTIVO PROVINCIAL-,,www.saij.gob.ar/LPB0010082,06
Buenos Aires,Código Fiscal,10397,"Vigente, de alcance general",2011-02-14,2011-03-11,LEY 10.397,CODIGO FISCAL DE LA PROVINCIA DE BUENOS AIRES,TRIBUTOS-IMPUESTOS-IMPUESTOS PROVINCIALES-CODIGO FISCAL DE LA PROVINCIA DE BUENOS AIRES,,www.saij.gob.ar/LPB1110397,06
Buenos Aires,Código Procesal Penal,11922,"Vigente, de alcance general",1996-12-18,1997-01-23,LEY 11.922,Código Procesal Penal de la Provincia de Buenos Aires,CODIGO PROCESAL PENAL DE BUENOS AIRES RESERVA DE IDENTIDAD JUICIO POLITICO DESAFUERO JUICIO POR JURADOS LUCHA CONTRA LA CORRUPCION INCUMPLIMIENTO DE LOS DEBERES DEL FUNCIONARIO PUBLICO REMOCION DE FUNCIONARIOS PUBLICOS,,www.saij.gob.ar/LPB0011922,06
Buenos Aires,Código Contencioso Administrativo,12008,"Vigente, de alcance general",1997-10-01,1997-11-03,LEY 12.008,CODIGO CONTENCIOSO ADMINISTRATIVO,CODIGO CONTENCIOSO ADMINISTRATIVO DE LA PROVINCIA DE BUENOS AIRES-COMPETENCIA CONTENCIOSO ADMINISTRATIVA-DEMANDA-CONTESTACION DE LA DEMANDA-PRUEBA-MEDIDAS CAUTELARES-ALEGATO-SENTENCIA-EJECUCION DE SENTENCIA-RECURSOS,,www.saij.gob.ar/LPB0012008,06
Buenos Aires,Código Procesal Civil Comercial,7425,"Vigente, de alcance general",1968-09-19,1968-10-24,DECRETO LEY 7425/68,CODIGO PROCESAL CIVIL Y COMERCIAL DE BUENOS AIRES,CODIGO PROCESAL CIVIL Y COMERCIAL DE BUENOS AIRES,,www.saij.gob.ar/LPB0007425,06
Catamarca,Código Procesal Civil Comercial,2339,"Vigente, de alcance general",1970-03-25,2008-02-29,LEY 2.339,CODIGO PROCESAL CIVIL Y COMERCIAL DE CATAMARCA (T.O. 2008),CODIGO PROCESAL CIVIL Y COMERCIAL DE CATAMARCA-ORGANO JUDICIAL- PARTES-ACTOS PROCESALES-CONTINGENCIAS GENERALES-MODOS ANORMALES DE TERMINACION DEL PROCESO-PROCESOS DE CONOCIMIENTO-PROCESO ORDINARIO-PROCESOS SUMARIO Y SUMARISIMO-PROCESOS DE...,,www.saij.gob.ar/LPK0002339,10
Catamarca,Código Contencioso Administrativo,2403,"Vigente, de alcance general",1971-07-28,1971-07-28,LEY 2.403,CODIGO CONTENCIOSO ADMINISTRATIVO DE CATAMARCA,CODIGO CONTENCIOSO ADMINISTRATIVO-COMPETENCIA CONTENCIOSO ADMINISTRATIVA,,www.saij.gob.ar/LPK0002403,10
